Tên thực phẩm chức năng,Giá tiền,Cách dùng,Chống chỉ định,Liều dùng,Vitamin C,Canxi,Vitamin D3,Sắt,Kẽm,Vitamin E,Omega-3,Biotin,Lợi khuẩn,Protein,Thành phần đặc biệt khác,Vitamin A,Chức năng sản phẩm,Quy cách đóng gói,Đối tượng sử dụng,Dạng bào chế
Blackmores Glucosamine Sulfate 1500mg,750.000 VNĐ,Uống cùng hoặc sau bữa ăn,Người dị ứng hải sản,1 viên/ngày,,,,,,,,,,,1500mg Glucosamine,,Hỗ trợ sụn khớp giảm đau xương khớp,180 viên/hộp,Người cao tuổi,Viên nén
Centrum Silver Adults 50+,650.000 VNĐ,Uống sau bữa ăn sáng,Người đang điều trị bệnh gan,1 viên/ngày,60mg,200mg,500 IU,,11mg,50 IU,,,,,Lutein,2500 IU,Bổ sung vitamin khoáng chất thiết yếu,200 viên/hộp,Người trên 50 tuổi,Viên nén
Nature's Way Multivitamin,350.000 VNĐ,Uống sau bữa ăn sáng,Trẻ em dưới 12 tuổi,1 viên/ngày,25mg,10mg,100 IU,1.9mg,1.5mg,3 IU,,,,,Chứa 20+ loại vitamin & khoáng chất,,Bổ sung dưỡng chất tăng cường sức khỏe,200 viên/hộp,Người trưởng thành,Viên nén
One A Day Men's Multivitamin,550.000 VNĐ,Uống sau bữa ăn sáng,Trẻ em dưới 12 tuổi,1 viên/ngày,120mg,210mg,700 IU,,15mg,22.5 IU,,,,,Lycopene,2800 IU,Bổ sung dưỡng chất tăng cường sức khỏe,300 viên/hộp,Nam giới trưởng thành,Viên nén
Blackmores Pregnancy Iron,250.000 VNĐ,Uống lúc đói hoặc với nước cam,Người mắc bệnh Thalassemia,1 viên/ngày,,,,24mg,,,,,,,,,Bổ máu ngăn ngừa thiếu máu,30 viên/hộp,Phụ nữ có thai,Viên nén
Nature Made Iron 65mg,200.000 VNĐ,Uống lúc đói hoặc với nước cam,Người mắc bệnh Thalassemia,1 viên/ngày,,,,65mg,,,,,,,,,Bổ máu ngăn ngừa thiếu máu,180 viên/hộp,Người thiếu máu,Viên nén
DHC Zinc 60 Days,180.000 VNĐ,Uống sau bữa ăn,Không dùng chung với sắt/canxi cùng lúc,1 viên/ngày,,,,,15mg,,,,,,,,Tăng sức đề kháng cải thiện tiêu hóa,60 viên/gói,Người trưởng thành,Viên nhộng
Blackmores Bio Zinc,300.000 VNĐ,Uống sau bữa ăn,Không dùng chung với sắt/canxi cùng lúc,1 viên/ngày,,,,,25mg,,,,,,,,Tăng sức đề kháng cải thiện tiêu hóa,84 viên/hộp,Người trưởng thành,Viên nén
Optibac Probiotics For Women,450.000 VNĐ,Uống sau bữa ăn sáng,Người suy giảm miễn dịch nghiêm trọng,1-2 viên/ngày,,,,,,,,,2.5 tỷ CFU,,,,Hỗ trợ tiêu hóa phụ khoa,30 viên/hộp,Phụ nữ,Viên nang
Life Space Broad Spectrum Probiotic,500.000 VNĐ,Uống trước bữa ăn 30 phút,Người suy giảm miễn dịch nghiêm trọng,1 viên/ngày,,,,,,,,,32 tỷ CFU,,,,Hỗ trợ tiêu hóa cân bằng hệ vi sinh,60 viên/hộp,Người trưởng thành,Viên nang cứng
Healthy Care Probiotics,350.000 VNĐ,Uống trước bữa ăn 30 phút,Người suy giảm miễn dịch nghiêm trọng,1 viên/ngày,,,,,,,,,10 tỷ CFU,,,,Hỗ trợ tiêu hóa cân bằng hệ vi sinh,60 viên/hộp,Người trưởng thành,Viên nang cứng
Kirkland Signature Vitamin E 400 IU,400.000 VNĐ,Uống sau bữa ăn có chất béo,Người có nguy cơ chảy máu cao,1 viên/ngày,,,,,,400 IU,,,,,,,Chống oxy hóa làm đẹp da tóc,500 viên/hộp,Người trưởng thành,Viên nang mềm
DHC Vitamin E 60 Days,200.000 VNĐ,Uống sau bữa ăn có chất béo,Người có nguy cơ chảy máu cao,1 viên/ngày,,,,,,301mg,,,,,,,Chống oxy hóa làm đẹp da tóc,60 viên/gói,Người trưởng thành,Viên nang mềm
Zentiva Vitamin E Đỏ Nga 400mg,250.000 VNĐ,Uống sau bữa ăn có chất béo,Người có nguy cơ chảy máu cao,1 viên/ngày,,,,,,400mg,,,,,,,Chống oxy hóa làm đẹp da tóc,30 viên/hộp,Phụ nữ,Viên nang mềm
Oyster Plus Goodhealth,350.000 VNĐ,Uống sau bữa ăn,Người dị ứng hải sản,2 viên/ngày,,,,,7mg,,,,,,350mg Chiết xuất hàu,,Tăng cường sinh lý nam giới,60 viên/hộp,Nam giới trưởng thành,Viên nang cứng
Orihiro Oyster Extract,550.000 VNĐ,Uống sau bữa ăn,Người dị ứng hải sản,4 viên/ngày,,,,,12mg,,,,,,500mg Chiết xuất hàu,,Tăng cường sinh lý nam giới,120 viên/hộp,Nam giới trưởng thành,Viên nén
Healthy Care Royal Jelly 1000mg,450.000 VNĐ,Uống lúc bụng đói,Người dị ứng phấn hoa mật ong,1 viên/ngày,,,,,,,,,,,1000mg Sữa ong chúa,,Bồi bổ cơ thể chống lão hóa,365 viên/hộp,Người trưởng thành,Viên nang mềm
Costar Royal Jelly 1450mg,500.000 VNĐ,Uống lúc bụng đói,Người dị ứng phấn hoa mật ong,1 viên/ngày,,,,,,,,,,,1450mg Sữa ong chúa,,Bồi bổ cơ thể chống lão hóa,365 viên/hộp,Người trưởng thành,Viên nang mềm
Trunature Ginkgo Biloba 120mg,450.000 VNĐ,Uống sau bữa ăn,Người đang chảy máu chuẩn bị phẫu thuật,1 viên/ngày,,,,,,,,,,,120mg Chiết xuất bạch quả,,Tăng cường tuần hoàn máu não cải thiện trí nhớ,340 viên/hộp,Người cao tuổi,Viên nang mềm
Healthy Care Ginkgo Biloba 2000,300.000 VNĐ,Uống sau bữa ăn,Người đang chảy máu chuẩn bị phẫu thuật,3 viên/ngày,,,,,,,,,,,2000mg Chiết xuất bạch quả,,Tăng cường tuần hoàn máu não cải thiện trí nhớ,100 viên/hộp,Người cao tuổi,Viên nang mềm
Natrol Biotin 10000mcg,280.000 VNĐ,Uống trong bữa ăn,Trẻ em phụ nữ có thai (cần tư vấn),1 viên/ngày,,,,,,,,10000 mcg,,,,,Kích thích mọc tóc móng chắc khỏe,100 viên/hộp,Người rụng tóc móng yếu,Viên nén
Puritan's Pride Biotin 10000mcg,250.000 VNĐ,Uống trong bữa ăn,Trẻ em phụ nữ có thai (cần tư vấn),1 viên/ngày,,,,,,,,10000 mcg,,,,,Kích thích mọc tóc móng chắc khỏe,100 viên/hộp,Người rụng tóc móng yếu,Viên nang mềm
Natrol Melatonin 5mg Gummies,350.000 VNĐ,Nhai trước khi ngủ 30 phút,Trẻ em người lái xe vận hành máy móc,1 viên/ngày,,,,,,,,,,,5mg Melatonin,,Hỗ trợ giấc ngủ giảm căng thẳng,90 viên/hộp,Người trưởng thành mất ngủ,Kẹo dẻo
Olly Sleep Melatonin Gummies,450.000 VNĐ,Nhai trước khi ngủ 30 phút,Trẻ em người lái xe vận hành máy móc,2 viên/ngày,,,,,,,,,,,3mg Melatonin,,Hỗ trợ giấc ngủ giảm căng thẳng,50 viên/hộp,Người trưởng thành mất ngủ,Kẹo dẻo
Optimum Nutrition Gold Standard 100% Whey,1.600.000 VNĐ,Pha với nước uống sau tập,Người dị ứng sữa,1-2 muỗng/ngày,,,,,,,,,,24g/muỗng,,,Phát triển cơ bắp phục hồi sau tập,2.27kg/hũ,Người tập thể hình,Bột
Rule 1 R1 Protein Isolate,1.700.000 VNĐ,Pha với nước uống sau tập,Người dị ứng sữa,1-2 muỗng/ngày,,,,,,,,,,25g/muỗng,,,Phát triển cơ bắp phục hồi sau tập,2.2kg/hũ,Người tập thể hình,Bột
Puritan's Pride Soy Isoflavones,350.000 VNĐ,Uống sau bữa ăn,Phụ nữ có u xơ tử cung u nang buồng trứng,1-2 viên/ngày,,,,,,,,,,,750mg Isoflavones,,Cân bằng nội tiết tố nữ làm đẹp da,120 viên/hộp,Phụ nữ tiền mãn kinh,Viên nang cứng
DHC Soy Isoflavone,250.000 VNĐ,Uống sau bữa ăn,Phụ nữ có u xơ tử cung u nang buồng trứng,2 viên/ngày,,,,,,,,,,,40mg Isoflavones,,Cân bằng nội tiết tố nữ làm đẹp da,40 viên/gói,Phụ nữ tiền mãn kinh,Viên nén
Relumins Advance White 1650mg,950.000 VNĐ,Uống trong bữa ăn,Phụ nữ có thai người dị ứng thành phần,2-3 viên/ngày,,,,,,,,,,,1650mg Glutathione,,Làm trắng da mờ thâm nám,90 viên/hộp,Phụ nữ,Viên nang cứng
Puritan's Pride L-Glutathione 500mg,750.000 VNĐ,Uống trong bữa ăn,Phụ nữ có thai người dị ứng thành phần,1 viên/ngày,,,,,,,,,,,500mg Glutathione,,Làm trắng da mờ thâm nám,30 viên/hộp,Phụ nữ,Viên nang cứng
Tỏi Đen Học Viện Quân Y,550.000 VNĐ,Ăn trực tiếp trước bữa ăn,Người bị huyết áp thấp tiêu chảy,1-2 củ/ngày,,,,,,,,,,,100% tỏi đen lên men,,Giảm mỡ máu ổn định huyết áp,500g/hộp,Người trưởng thành người cao tuổi,Củ nguyên vẹn
Blackmores Milk Thistle,450.000 VNĐ,Uống sau bữa ăn,Người bị tắc nghẽn ống mật,3 viên/ngày,,,,,,,,,,,7000mg Chiết xuất kế sữa,,Giải độc gan bảo vệ tế bào gan,42 viên/hộp,Người hay uống rượu bia,Viên nén
Puritan's Pride Milk Thistle 1000mg,300.000 VNĐ,Uống sau bữa ăn,Người bị tắc nghẽn ống mật,1 viên/ngày,,,,,,,,,,,1000mg Chiết xuất kế sữa,,Giải độc gan bảo vệ tế bào gan,90 viên/hộp,Người hay uống rượu bia,Viên nang mềm
Bio Island Cod Liver + Fish Oil,400.000 VNĐ,Uống trong bữa ăn,Người dị ứng cá,1-2 viên/ngày,,,30 IU,,,,90mg,,,,,100 IU,Bổ mắt hỗ trợ phát triển trí não,90 viên/hộp,Trẻ em từ 4 tuần tuổi,Viên nang mềm
Nature's Bounty Vitamin A 10000 IU,200.000 VNĐ,Uống sau bữa ăn,Phụ nữ có thai liều cao,1 viên/ngày,,,,,,,,,,,,10000 IU,Sáng mắt tăng cường thị lực,100 viên/hộp,Người có thị lực kém,Viên nang mềm
Puritan's Pride Lutein 20mg,350.000 VNĐ,Uống sau ăn,Phụ nữ có thai,1 viên/ngày,,,,,,,,,,,Lutein 20mg,,Bảo vệ võng mạc giảm mỏi mắt,60 viên/hộp,Người tiếp xúc nhiều với màn hình,Viên nang mềm
Tảo Xoắn Spirulina Nhật Bản 2200 Viên,550.000 VNĐ,Uống trước/sau ăn,Bệnh tự miễn,20-40 viên/ngày,,120mg,,5mg,,,,,,6g,,1000 IU,Cung cấp dưỡng chất thanh lọc cơ thể,2200 viên/hộp,Mọi lứa tuổi,Viên nén
Schiff Move Free Advanced,650.000 VNĐ,Uống cùng bữa ăn,Người dị ứng hải sản,2 viên/ngày,,,,,,,,,,,"Glucosamine, Chondroitin",,Hỗ trợ xương khớp,200 viên/hộp,Người cao tuổi,Viên nén
GNC Mega Men,750.000 VNĐ,Uống sau bữa ăn,Trẻ em,2 viên/ngày,300mg,200mg,1600 IU,,25mg,30 IU,,,,,"Lycopene, Saw Palmetto",5000 IU,Tăng cường sức khỏe nam giới,180 viên/hộp,Nam giới trưởng thành,Viên nén
GNC Women's Ultra Mega,750.000 VNĐ,Uống sau bữa ăn,Trẻ em,2 viên/ngày,200mg,500mg,1600 IU,18mg,15mg,30 IU,,,,,Cranberry,5000 IU,Tăng cường sức khỏe nữ giới,180 viên/hộp,Phụ nữ trưởng thành,Viên nén
Swisse Men's Ultivite,500.000 VNĐ,Uống sau bữa ăn,Trẻ em,1 viên/ngày,165mg,,200 IU,,6mg,50 IU,,,,,Nhân sâm,2500 IU,Tăng cường sinh lực,120 viên/hộp,Nam giới trưởng thành,Viên nén
Swisse Women's Ultivite,500.000 VNĐ,Uống sau bữa ăn,Trẻ em,1 viên/ngày,165mg,,200 IU,5mg,6mg,50 IU,,,,,Hoa cúc,2500 IU,Giảm căng thẳng mệt mỏi,120 viên/hộp,Phụ nữ trưởng thành,Viên nén
Centrum Silver Women 50+,650.000 VNĐ,Uống sau bữa ăn,Người dị ứng thành phần,1 viên/ngày,120mg,500mg,1000 IU,,15mg,30 IU,,,,,Lutein,2500 IU,Bảo vệ xương và mắt,200 viên/hộp,Phụ nữ trên 50 tuổi,Viên nén
Nature's Bounty Fish Oil 1200mg,400.000 VNĐ,Uống sau bữa ăn,Người dị ứng cá,2 viên/ngày,,,,,,,1200mg,,,,,,Hỗ trợ tim mạch,200 viên/hộp,Người trưởng thành,Viên nang mềm
Now Foods Omega-3,350.000 VNĐ,Uống sau bữa ăn,Người dị ứng cá,2 viên/ngày,,,,,,,1000mg,,,,,,Hỗ trợ tim mạch não bộ,200 viên/hộp,Người trưởng thành,Viên nang mềm
Nordic Naturals Ultimate Omega,950.000 VNĐ,Uống sau bữa ăn,Người dị ứng cá,2 viên/ngày,,,,,,,1280mg,,,,,,Tăng cường sức khỏe toàn diện,120 viên/hộp,Người trưởng thành,Viên nang mềm
Jarrow Formulas EPA-DHA Balance,550.000 VNĐ,Uống sau bữa ăn,Người dị ứng cá,2 viên/ngày,,,,,,,600mg,,,,,,Hỗ trợ não bộ và tim,120 viên/hộp,Người trưởng thành,Viên nang mềm
Nature's Way Alive! Max3 Daily,600.000 VNĐ,Uống sau bữa ăn,Trẻ em,3 viên/ngày,1000mg,500mg,1000 IU,18mg,15mg,200 IU,,,,,Chiết xuất nấm,10000 IU,Bổ sung năng lượng tối đa,90 viên/hộp,Người trưởng thành,Viên nén
Rainbow Light Women's One,500.000 VNĐ,Uống sau bữa ăn,Trẻ em,1 viên/ngày,120mg,100mg,1000 IU,27mg,15mg,30 IU,,,,,Probiotics,2500 IU,Bổ sung vitamin và tiêu hóa,90 viên/hộp,Phụ nữ trưởng thành,Viên nén
Garden of Life Vitamin Code Men,850.000 VNĐ,Uống cùng bữa ăn,Trẻ em,4 viên/ngày,90mg,18mg,400 IU,,15mg,15 IU,,,500 triệu CFU,,Enzyme tiêu hóa,5000 IU,Hỗ trợ tiêu hóa và sinh lực,120 viên/hộp,Nam giới trưởng thành,Viên nang
MegaFood Blood Builder,450.000 VNĐ,Uống lúc đói,Người Thalassemia,1 viên/ngày,15mg,,,26mg,,,,,,,Vitamin B12,,Tạo máu giảm mệt mỏi,90 viên/hộp,Người thiếu máu,Viên nén
New Chapter Every Woman's One Daily,750.000 VNĐ,Uống sau bữa ăn,Trẻ em,1 viên/ngày,60mg,15mg,1000 IU,9mg,5mg,15 IU,,,,,Chiết xuất thảo mộc,5000 IU,Tăng cường miễn dịch nữ giới,72 viên/hộp,Phụ nữ trưởng thành,Viên nén
OLLY The Perfect Women's Multi,400.000 VNĐ,Nhai,Trẻ em,2 viên/ngày,45mg,150mg,800 IU,,,15 IU,,150mcg,,,Folic Acid,2000 IU,Bổ sung vitamin cơ bản,90 viên/hộp,Phụ nữ trưởng thành,Kẹo dẻo
SmartyPants Kids Complete,550.000 VNĐ,Nhai,Trẻ em dưới 3 tuổi,4 viên/ngày,40mg,,600 IU,,,11 IU,300mg,,,,I-ốt,900 IU,Phát triển toàn diện cho bé,120 viên/hộp,Trẻ em,Kẹo dẻo
Align Probiotic,850.000 VNĐ,Uống sau bữa ăn,Người suy giảm miễn dịch,1 viên/ngày,,,,,,,,,1 tỷ CFU,,Bifidobacterium,,Giảm hội chứng ruột kích thích,28 viên/hộp,Người trưởng thành,Viên nang
Culturelle Digestive Health,650.000 VNĐ,Uống sau bữa ăn,Người suy giảm miễn dịch,1 viên/ngày,,,,,,,,,10 tỷ CFU,,Lactobacillus rhamnosus,,Hỗ trợ tiêu hóa giảm đầy hơi,30 viên/hộp,Người trưởng thành,Viên nang
Renew Life Ultimate Flora,750.000 VNĐ,Uống sau bữa ăn,Người suy giảm miễn dịch,1 viên/ngày,,,,,,,,,50 tỷ CFU,,10 chủng men,,Phục hồi hệ vi sinh đường ruột,30 viên/hộp,Người trưởng thành,Viên nang
Florastor Daily Probiotic,800.000 VNĐ,Uống sau bữa ăn,Người suy giảm miễn dịch,1-2 viên/ngày,,,,,,,,,5 tỷ CFU,,Saccharomyces boulardii,,Tăng cường miễn dịch đường ruột,50 viên/hộp,Người trưởng thành,Viên nang
Nature's Bounty Melatonin 10mg,250.000 VNĐ,Uống trước khi ngủ,Trẻ em,1 viên/ngày,,,,,,,,,,,Melatonin 10mg,,Hỗ trợ giấc ngủ sâu,60 viên/hộp,Người mất ngủ,Viên nang
ZzzQuil Pure Zzzs,450.000 VNĐ,Nhai trước khi ngủ,Trẻ em,2 viên/ngày,,,,,,,,,,,Melatonin 2mg,,Giúp dễ ngủ,60 viên/hộp,Người mất ngủ,Kẹo dẻo
Natrol 5-HTP 100mg,350.000 VNĐ,Uống cùng bữa ăn,Phụ nữ có thai,1 viên/ngày,,,,,,,,,,,5-HTP 100mg,,Giảm căng thẳng cải thiện tâm trạng,150 viên/hộp,Người căng thẳng,Viên nén
Doctor's Best High Absorption Magnesium,400.000 VNĐ,Uống sau bữa ăn,Người suy thận,2 viên/ngày,,,,,,,,,,,Magnesium 200mg,,Thư giãn cơ bắp giảm chuột rút,120 viên/hộp,Người trưởng thành,Viên nén
Now Foods Ashwagandha,300.000 VNĐ,Uống sau bữa ăn,Phụ nữ có thai,1 viên/ngày,,,,,,,,,,,Chiết xuất sâm Ấn Độ,,Giảm stress tăng cường sinh lực,90 viên/hộp,Người căng thẳng,Viên nang
Himalaya LiverCare,450.000 VNĐ,Uống sau bữa ăn,Trẻ em,2 viên/ngày,,,,,,,,,,,Thảo mộc Ayurveda,,Bảo vệ và giải độc gan,90 viên/hộp,Người hay uống rượu bia,Viên nang
Jarrow Formulas Milk Thistle,350.000 VNĐ,Uống sau bữa ăn,Tắc nghẽn ống mật,1 viên/ngày,,,,,,,,,,,Silymarin 150mg,,Hỗ trợ chức năng gan,100 viên/hộp,Người hay uống rượu bia,Viên nang
Sports Research Sweet Sweat,650.000 VNĐ,Thoa ngoài da,Người da nhạy cảm,Dùng khi tập,,,,,,,,,,,Dầu dừa,,Tăng tiết mồ hôi đốt mỡ,1 hũ,Người tập thể thao,Gel
Cellucor C4 Original,750.000 VNĐ,Pha nước trước tập,Người bệnh tim mạch,1 muỗng/ngày,250mg,,,,,,,,,,"Caffeine, Creatine",,Tăng sức mạnh sự tập trung,30 liều/hũ,Người tập thể hình,Bột
BSN N.O.-Xplode,850.000 VNĐ,Pha nước trước tập,Người bệnh tim mạch,1 muỗng/ngày,,,,,,,,,,,"Caffeine, Beta-Alanine",,Tăng cường hiệu suất tập luyện,30 liều/hũ,Người tập thể hình,Bột
Scivation Xtend BCAA,600.000 VNĐ,Pha nước trong lúc tập,Trẻ em,1 muỗng/ngày,,,,,,,,,,,7g BCAA,,Phục hồi cơ bắp giảm mệt mỏi,30 liều/hũ,Người tập thể hình,Bột
Optimum Nutrition Creatine Powder,500.000 VNĐ,Pha nước uống,Người suy thận,1 muỗng/ngày,,,,,,,,,,,5g Creatine Monohydrate,,Tăng sức mạnh cơ bắp,60 liều/hũ,Người tập thể hình,Bột
MuscleTech Mass Tech,1.500.000 VNĐ,Pha nước uống,Người dị ứng sữa,5 muỗng/ngày,,,,,,,,,,63g,Creatine,,Tăng cân tăng cơ,3.2kg/hũ,Người gầy tập thể hình,Bột
Dymatize ISO100,1.800.000 VNĐ,Pha nước uống,Người dị ứng sữa,1-2 muỗng/ngày,,,,,,,,,,25g,Hydrolyzed Whey,,Phát triển cơ bắp nhanh,2.3kg/hũ,Người tập thể hình,Bột
Vega Sport Premium Protein,1.200.000 VNĐ,Pha nước uống,Người dị ứng đậu nành,1 muỗng/ngày,,,,,,,,,2 tỷ CFU,30g,Protein thực vật,,Phục hồi cơ bắp thuần chay,800g/hũ,Người ăn chay tập thể thao,Bột
Orgain Organic Protein,900.000 VNĐ,Pha nước uống,Người dị ứng đậu nành,2 muỗng/ngày,,,,,,,,,,21g,Protein thực vật hữu cơ,,Bổ sung protein hàng ngày,920g/hũ,Người ăn chay,Bột
Hydroxycut Hardcore Elite,650.000 VNĐ,Uống trước bữa ăn,Người bệnh tim mạch,2 viên/ngày,,,,,,,,,,,"Caffeine, Trà xanh",,Đốt mỡ giảm cân,100 viên/hộp,Người muốn giảm cân,Viên nang
Lipo-6 Black Ultra Concentrate,700.000 VNĐ,Uống trước bữa ăn,Người bệnh tim mạch,1 viên/ngày,,,,,,,,,,,Caffeine,,Đốt mỡ siêu tốc,60 viên/hộp,Người muốn giảm cân,Viên nang
Garcinia Cambogia Extract,350.000 VNĐ,Uống trước bữa ăn,Phụ nữ có thai,2 viên/ngày,,,,,,,,,,,60% HCA,,Giảm cảm giác thèm ăn,60 viên/hộp,Người muốn giảm cân,Viên nang
Apple Cider Vinegar Gummies,400.000 VNĐ,Nhai,Trẻ em,2 viên/ngày,,,,,,,,,,,Giấm táo,,Hỗ trợ tiêu hóa giảm cân,60 viên/hộp,Người muốn giảm cân,Kẹo dẻo
Alli Diet Pills,1.200.000 VNĐ,Uống cùng bữa ăn có mỡ,Người ghép tạng,3 viên/ngày,,,,,,,,,,,Orlistat 60mg,,Ngăn hấp thu chất béo,120 viên/hộp,Người béo phì,Viên nang
SugarBearHair Vitamins,750.000 VNĐ,Nhai,Trẻ em,2 viên/ngày,20mg,,400 IU,,,16.5 IU,,5000mcg,,,Folic Acid,2100 IU,Kích thích mọc tóc,60 viên/hộp,Người rụng tóc,Kẹo dẻo
Viviscal Hair Growth,1.100.000 VNĐ,Uống sau bữa ăn,Người dị ứng hải sản,2 viên/ngày,59mg,60mg,,,15mg,,,,,,AminoMar,,Kích thích mọc tóc cho nữ,60 viên/hộp,Phụ nữ rụng tóc,Viên nén
Nutrafol Women,2.000.000 VNĐ,Uống cùng bữa ăn,Phụ nữ có thai,4 viên/ngày,100mg,,2500 IU,,,50mg,,3000mcg,,,"Collagen, Ashwagandha",5000 IU,Ngăn rụng tóc cân bằng nội tiết,120 viên/hộp,Phụ nữ rụng tóc,Viên nang
Vital Proteins Collagen Peptides,950.000 VNĐ,Pha nước uống,Trẻ em,1-2 muỗng/ngày,90mg,,,,,,,,,18g,20g Collagen,,Làm đẹp da móng tóc,284g/hũ,Người trưởng thành,Bột
NeoCell Super Collagen Powder,600.000 VNĐ,Pha nước uống,Trẻ em,1 muỗng/ngày,,,,,,,,,,6g,6.6g Collagen,,Làm đẹp da móng tóc,198g/hũ,Người trưởng thành,Bột
Reserveage Collagen Booster,850.000 VNĐ,Uống sau bữa ăn,Trẻ em,2 viên/ngày,,,,,,,,,,,Resveratrol,,Chống lão hóa da,60 viên/hộp,Phụ nữ,Viên nang
Heliocare 360,1.100.000 VNĐ,Uống trước khi ra nắng,Trẻ em,1 viên/ngày,20mg,,,,,3mg,,,,,Chiết xuất dương xỉ,,Chống nắng nội sinh,30 viên/hộp,Người hay tiếp xúc nắng,Viên nang
Murad Pomphenol Sunguard,1.300.000 VNĐ,Uống trước khi ra nắng,Trẻ em,1 viên/ngày,,,,,,,,,,,Chiết xuất lựu,,Chống nắng nội sinh,60 viên/hộp,Người hay tiếp xúc nắng,Viên nén
